freq,sigma_ext,sigma_sc,d_wall_p
2340,7.0193230017315969e-05,4.7054179538394291e-05,1.8999999999999999
2345,6.9641718346926749e-05,4.6917094247548566e-05,1.8999999999999999
2350,6.9208170359679765e-05,4.6789620232406127e-05,1.8999999999999999
2355,6.8889522307630019e-05,4.6671412452992164e-05,1.8999999999999999
2360,6.868073633717724e-05,4.6562143944109886e-05,1.8999999999999999
2365,6.8574879537503075e-05,4.6461504613765657e-05,1.8999999999999999
2370,6.8563245433461668e-05,4.6369200117144578e-05,1.8999999999999999
2375,6.86355153717781e-05,4.6284950802960141e-05,1.8999999999999999
2380,6.8779956431956474e-05,4.6208490728939921e-05,1.8999999999999999
2385,6.8983651688815406e-05,4.6139566745837984e-05,1.8999999999999999
2390,6.9232757960889098e-05,4.6077937646442355e-05,1.8999999999999999
2395,6.9512785553724996e-05,4.6023373379342686e-05,1.8999999999999999
2400,6.9808894051908332e-05,4.5975654325137915e-05,1.8999999999999999
1600,3.403490887655064e-05,7.0902976102016338e-06,2
1605,3.4930356494746788e-05,7.3259492939895848e-06,2
1610,3.5883238724357971e-05,7.5740284459100772e-06,2
1615,3.6901127486123727e-05,7.8354253844513442e-06,2
1620,3.7991800381941553e-05,8.1111080126852971e-06,2
1625,3.9163170722230065e-05,8.4021297918966129e-06,2
1630,4.0423221404809277e-05,8.709638669827137e-06,2
1635,4.1779945355158102e-05,9.0348870938902852e-06,2
1640,4.3241295277809482e-05,9.3792432597590172e-06,2
1645,4.481514555733738e-05,9.7442037699401204e-06,2
1650,4.6509269140470887e-05,1.0131407903213107e-05,2
1655,4.8331332212055793e-05,1.0542653729738345e-05,2
1660,5.0288909440983991e-05,1.09799163439912e-05,2
1665,5.2389522513209e-05,1.1445368534052857e-05,2
1670,5.4640704554356587e-05,1.1941404259022734e-05,2
1675,5.7050093004567112e-05,1.2470665371384442e-05,2
1680,5.9625553398539551e-05,1.3036072097673025e-05,2
1685,6.2375336461375578e-05,1.3640857882404559e-05,2
1690,6.5308270939383646e-05,1.4288609312395763e-05,2
1695,6.8433994610338236e-05,1.4983311969250282e-05,2
1700,7.1763226042234867e-05,1.5729403220531686e-05,2
1705,7.5308080003310622e-05,1.6531833154402665e-05,2
1710,7.9082429699786793e-05,1.7396135100047175e-05,2
1715,8.310231973475845e-05,1.8328507462899929e-05,2
1720,8.7386434417496774e-05,1.9335908960768304e-05,2
1725,9.195662725751039e-05,2.0426169779996574e-05,2
1730,9.6838518894237186e-05,2.160812170274609e-05,2
1735,0.0001020621727374106,2.2891750925112664e-05,2
1740,0.0001076628600799356,2.4288378102639793e-05,2
1745,0.00011368192966846351,2.5810871184337495e-05,2
1750,0.00012016780085788564,2.7473897882981246e-05,2
1755,0.00012717710462379616,2.9294226229945331e-05,2
1760,0.0001347760033979742,3.129108369867643e-05,2
1765,0.00014304172896184521,3.3486587947348038e-05,2
1770,0.0001520643882560617,3.5906265485090988e-05,2
1775,0.00016194910042815824,3.857967873419657e-05,2
1780,0.0001728185454355844,4.1541187275317359e-05,2
1785,0.00018481602642022763,4.4830875894523872e-05,2
1790,0.000198109175701695,4.8495690845087689e-05,2
